Country,Density,Mortality,GDP,Unemployment,emissions,continent,wage,population
Guinea-Bissau,73.28310811,50,795.118605,..,300,Africa,0.16,1975718
Guyana,4.087208534,23.2,9998.544311,..,2320,South America,0.98,787215
Haiti,415.3689768,45.4,1823.742224,..,3370,North America,0.25,11426356
Honduras,91.86115828,14.2,2771.722616,8.51,9000,North America,1.01,9931333
"Hong Kong SAR, China",7060.095238,..,49764.79312,5.17,#N/A,#N/A,2.15,#N/A
Hungary,106.3981043,3.3,18772.14111,4.05,46550,Europe,2.62,9655983
Iceland,3.694535357,2.1,68594.0081,6.03,2170,Europe,0,341628
India,473.4187327,25.5,2238.127139,6.38,2301440,Asia,0.3,1382345085
Indonesia,144.6473804,18.9,4334.215983,3.83,532920,Asia,0.48,274021604
"Iran, Islamic Rep.",54.19009676,10.9,4084.200305,9.28,#N/A,#N/A,1.46,#N/A
Iraq,100.2782405,20.7,4770.835343,16.17,174290,Asia,1.24,40372771
Ireland,73.06089418,2.7,100172.0793,6.19,37530,Europe,2.15,4947267
Isle of Man,147.8298246,..,..,..,..,Asia,0.27,85112
Israel,432.7495379,2.7,52166.81216,4.81,66040,Asia,7.58,8678517
Italy,199.8859315,2.2,35770.04961,9.5,329190,Europe,0,60446035
Jamaica,261.098338,10.7,5183.5811,5.19,7190,North America,1.33,2963429
Japan,344.8054678,1.7,39827.12677,2.83,1151930,Asia,6.77,126407422
Jordan,125.5521544,12.6,4046.931467,19.84,26100,Asia,1.49,10220604
Kazakhstan,7.038184984,9.1,10373.78979,..,225560,Asia,0.41,18815231
Kenya,93.13282145,28,2069.661137,5.69,18890,Africa,0.25,53968739
Kiribati,159.1037037,38.3,1766.143945,..,80,..,0,119760
"Korea, Dem. People's Rep.",215.695615,10.1,..,..,#N/A,#N/A,0.27,#N/A
"Korea, Rep.",530.1729098,2.5,34997.78164,3.64,625350,Asia,1.46,..
Kosovo,..,9.1,5269.783901,20.39,..,Europe,2.15,..
Kuwait,238.5024691,7.5,32186.76541,..,89720,Asia,0.95,4281320
Kyrgyz Republic,34.8894682,15.6,1306.177992,4.1,9340,North America,1.46,..
Lao PDR,32.17095754,34.2,2535.623434,..,18510,Asia,0.27,..
Latvia,30.2826611,3.2,21080.17745,7.51,7120,Europe,2.8,1882408
Lebanon,546.6892473,7.1,4136.146575,..,29280,Asia,2.15,6819976
Lesotho,75.14670619,57,1040.308623,..,2440,Africa,0.41,2145194
Liberia,53.91835548,56.7,675.6631858,..,1260,Africa,0.17,5077411
Libya,3.827862396,9.2,5908.951323,..,56810,Africa,1.88,6887247
Liechtenstein,243.99375,..,184083.3214,..,160,Europe,0,38147
Lithuania,44.73469094,2.7,23712.53578,7.11,11220,Europe,2.41,2715340
"Macao SAR, China",20806.27273,..,43873.41716,..,..,Asia,0.27,..
Madagascar,49.70033173,45.3,503.3520811,..,3500,Africa,0.21,27808395
Malawi,210.9645948,31.2,633.6097333,..,1500,Africa,0.12,19211425
Malaysia,102.1880201,6.5,11109.26529,..,222890,Asia,0.93,32436963
Maldives,1738.19,5.1,10366.25678,..,1820,Asia,0,542151
Mali,17.95210828,61.6,881.5100886,..,5050,Africa,0.23,20346106
